organization_id,organization_name,location,official_website,official_x,query_include,query_exclude
org-ほくりくアイドル部,ほくりくアイドル部,北陸地方,https://hkrk.jp,https://x.com/hokuriku_idolbu,,1
org-ハートグローバル金沢,ハートグローバル金沢,石川県金沢市,https://www.heart-global.jp,https://x.com/0y6bXgO8JEAnim7,,1
org-七尾市民劇団n,七尾市民劇団N,石川県七尾市,https://gekidann.com,,,1
org-七尾演劇鑑賞会,七尾演劇鑑賞会,石川県七尾市,,,,1
org-劇団さくらんぼ,劇団さくらんぼ,石川県金沢市,https://doubun.arunke.biz/kouen/gekidan/,,,1
org-劇団ともだおれ,劇団ともだおれ,石川県金沢市,https://www.instagram.com/tomodaore70,https://x.com/tomodaore70,,
org-k-cat,K-CAT,石川県金沢市,http://www.k-cat.net/,,,
org-110show,110SHOW,石川県金沢市,https://www.110show.com/,https://x.com/110show1,,
org-0me,0ME｜ゼロミー,石川県金沢市,https://lit.link/zeromeofficial,https://x.com/zeroMEOFFICIAL,1,
org-劇団夢宇人,劇団夢宇人,石川県金沢市,http://munin.jpn.com/,,,
org-劇団羅針盤,劇団羅針盤,石川県金沢市,https://gekirashinban.com,https://x.com/GEKIRASHINBAN,,
org-金沢大学劇団らくだ,金沢大学劇団らくだ,石川県金沢市,https://sites.google.com/view/gekidannrakuda/%E3%83%9B%E3%83%BC%E3%83%A0,https://x.com/drama_camel,,
org-劇団nono,劇団nono,石川県野々市市,http://gekidan.nono1.jp/gekidan.html,https://x.com/gekidannono,,
org-potluck-theater,Potluck Theater,石川県金沢市,https://potlucktheater.com/,https://x.com/PotluckTheater,,
org-表現集団tone-tone-tone,表現集団tone!tone!tone!,石川県金沢市,,https://x.com/tonetoneto25403,,
org-金沢学院大学演劇部,金沢学院大学演劇部,石川県金沢市,https://www.kanazawa-gu.ac.jp/club-tag/%E6%BC%94%E5%8A%87%E9%83%A8/,https://x.com/kg_drama,,
org-浪漫好-romance,演劇ユニット浪漫好,石川県金沢市,https://www.youtube.com/@ROMANCE966,https://x.com/ROMANCE966,,
org-出会い頭,出会い頭,石川県金沢市,,https://x.com/nabesan_p,1,
org-劇団新人類人猿,劇団新人類人猿,石川県金沢市,https://potofu.me/rui-jin-en,https://x.com/rui_jin_en,,
org-coffee-ジョキャニーニャ,ジョキャニーニャ,石川県金沢市,http://jokya.jp/,https://x.com/jokya_official,1,
org-血パンダ,血パンダ,富山県射水市,https://blood-panda.net/,https://x.com/BP_chipanda,,
org-劇団アンゲルス,劇団アンゲルス,石川県金沢市,https://theaterangelus.com/,https://x.com/angels_gekidan,,
org-のんびりユニットころころ,のんびりユニットころころ,石川県金沢市,,https://x.com/kolokolo3214go,,
org-演芸列車-東西本線,演芸列車「東西本線」,石川県,https://touzaihonsen.com/,https://x.com/touzaihonsen,1,
org-劇団ドリームチョップ,劇団ドリームチョップ,石川県金沢市,https://monthly-pro-geki.online/,https://x.com/dreamchop,,
org-演劇集団富山舞台,演劇集団富山舞台,富山県富山市,,https://x.com/toyama_butai,,
org-表現実験bashow,表現実験BASHOW,富山県,https://note.com/hyougenbashow,https://x.com/BASHOW1104,,
org-東京富山パフォーミングアーツプロジェクト,東京富山パフォーミングアーツプロジェクト,富山県,,https://x.com/TsproToyama,1,
org-劇団フロンティア,劇団フロンティア,富山県黒部市,http://www.theater-frontier.com/,https://x.com/theaterfrontier,,
org-劇団ココロ跡,劇団ココロ跡,富山県,https://kokoroato.com/,https://x.com/kokoro_art2,,
org-魔導演劇結社インポッシブル,魔導演劇結社インポッシブル,富山県,,https://x.com/Unit_INP,,
org-劇団p-o-d,劇団P.O.D.,富山県高岡市,http://www.pod-world.com/,https://x.com/pod_world,,
org-劇団すばる,劇団すばる,富山県砺波市,https://subaru1971tonami.sunnyday.jp/,https://x.com/gekisuba1971,,
org-演人全開,演人全開「血が滾ってきたぜ！」,富山県,https://chigatagi.net/,https://x.com/chigatagi,1,
org-び-めんぷろじぇくと,び〜めんぷろじぇくと,富山県,https://b-men-project.jimdofree.com/,https://x.com/b_men_project,1,
org-フガフガラボラトリー,フガフガLaboratory,福井県福井市,https://blog636.wixsite.com/fugalabo,https://x.com/fugalabo,1,
org-演衆やむなし,演衆やむなし,福井県福井市,https://www.yamunashi.com/,https://x.com/fukui_yamunashi,,
org-劇団福井自由舞台,劇団福井自由舞台,福井県福井市,,https://x.com/jiyuubutai,,
org-さよならキャンプ,さよならキャンプ,福井県,https://sayonara-camp.com/,https://x.com/sayonara_camp,1,
org-ririproject-act,RiRiぷろじぇくと,石川県,,https://x.com/RiRiproject_act,1,
