venue_id,venue_name,location,official_website,official_x,query_include,query_exclude
venue-七尾市文化ホール,七尾市文化ホール,〒926-0021 石川県七尾市本府中町ヲ部38番地,https://shisetsu.sports-nanao.or.jp/shisetsu/%E4%B8%83%E5%B0%BE%E5%B8%82%E6%96%87%E5%8C%96%E3%83%9B%E3%83%BC%E3%83%AB/,,,
venue-学びの杜ののいち-カレード,学びの杜ののいち カレード,〒921-8845 石川県野々市市太平寺4-156,https://www.kaleido-nono1.jp/,,,
venue-にぎわいの里ののいちカミーノ,にぎわいの里ののいち カミーノ,〒921-8815 石川県野々市市本町二丁目1番20号,https://www.city.nonoichi.lg.jp/site/camino/,,,
venue-宇多須神社,宇多須神社,〒920-0831 石川県金沢市東山1丁目30-8,,,,1
venue-小松市團十郎芸術劇場うらら,小松市團十郎芸術劇場うらら,〒923-0921 石川県小松市土居原町710番地,https://komatsu-urara.com/,,,
venue-金沢市文化ホール,金沢市文化ホール,〒920-0864 石川県金沢市高岡町15-1,https://www.bunka-h.gr.jp/,https://x.com/bunka_kanazawa,,
venue-石川県立音楽堂,石川県立音楽堂,〒920-0856 石川県金沢市昭和町20番1号,https://ongakudo.jp/,https://x.com/IshikawaONGAKU,1,
venue-石川県立能楽堂,石川県立能楽堂,〒920-0935 石川県金沢市石引4丁目18-3,https://noh-theater.jp/,https://x.com/ishikawa_noh,,
venue-津幡町文化会館シグナス,津幡町文化会館シグナス,〒929-0342 石川県河北郡津幡町北中条3丁目1番地,https://www.town.tsubata.lg.jp/page/1145.html,,,
venue-内灘町文化会館,内灘町文化会館,〒920-0267 石川県河北郡内灘町大清台140,,,,
venue-加賀市文化会館,加賀市文化会館,〒922-0243 石川県加賀市山代温泉北部2丁目68,,,,
venue-志賀町文化ホール,志賀町文化ホール,〒925-0141 石川県羽咋郡志賀町高浜町カの1番地1,,,,
venue-白山市松任文化会館,白山市松任文化会館,〒924-0872 石川県白山市古城町2,,,,
venue-白山市鶴来総合文化会館クレイン,白山市鶴来総合文化会館クレイン,〒920-2143 石川県白山市七原町77番地,,,,
venue-能美市根上総合文化会館,能美市根上総合文化会館,〒929-0113 石川県能美市大成町ヌ118,,,,
venue-輪島市文化会館,輪島市文化会館,〒928-0001 石川県輪島市河井町20部1-1,,,,1
venue-福井鯖江tabby-s,福井鯖江Tabby's,〒916-0038 福井県鯖江市下河端町607,https://www.tabbys-cafe.com/,https://x.com/tabbyscafe,1,
venue-能登演劇堂,能登演劇堂,〒929-2222 石川県七尾市中島町中島上部9番地,https://engekido.com/,https://x.com/engekido,,
venue-金沢eight-hall,金沢EIGHT HALL,〒920-0981 石川県金沢市片町1-6-10 ブラザービル2F,http://www.eighthall.com/,,,
venue-金沢市民芸術村,金沢市民芸術村,〒920-0046 石川県金沢市大和町1-1,https://www.artvillage.gr.jp/,,,
venue-北國新聞赤羽ホール,北國新聞赤羽ホール,〒920-0919 石川県金沢市南町2番1号,http://www.akabane-hall.jp/,,,
venue-スタジオ犀,スタジオ犀,〒920-0867 石川県金沢市長土塀3−24−28,https://studiosai-kanazawa.com/,,1,
venue-本多の森北電ホール,本多の森 北電ホール,〒920-0935 石川県金沢市石引4-17-1,http://www.hondanomori-hall.com/,,1,
venue-金沢21世紀美術館-シアター21,金沢21世紀美術館 シアター21,〒920-8509 石川県金沢市広坂1-2-1,https://www.kanazawa21.jp/,Kanazawa_21,1,
venue-金沢歌劇座,金沢歌劇座,〒920-0993 石川県金沢市下本多町6番丁27番地,http://www.kagekiza.gr.jp/,,1,
